合约,开仓时间,开仓均价,平仓均价,平仓量,平仓价值,仓位盈亏,已实现盈亏,资金费用,开仓手续费,平仓手续费,全部平仓时间
SYM_AA Short·Isolated,2026-08-05 10:10:38,139.06,137.59,0.24SYM_AA,33.0216,0.3395208,0.3528,0,-0.00667488,-0.00660432,2026-08-05 10:40:48
SYM_AA Long·Isolated,2026-08-04 21:02:16,131.78,130.31,0.14SYM_AA,18.2434,-0.22781556,-0.2058,0,-0.01106952,-0.01094604,2026-08-04 21:30:04
SYM_AA Short·Isolated,2026-08-04 09:02:08,115.989999999999,115.88,0.96SYM_AA,111.2448,0.061080959999,0.105599999999,0,-0.02227008,-0.02224896,2026-08-04 11:11:37
SYM_AA Short·Isolated,2026-08-03 16:07:43,115.96,115.79,0.14SYM_AA,16.2106,0.01081724,0.0238,0,-0.00974064,-0.00324212,2026-08-03 16:17:58
SYM_AA Long·Isolated,2026-08-03 15:11:28,118.91,117.34,0.24SYM_AA,28.1616,-0.41082,-0.3768,0,-0.01712304,-0.01689696,2026-08-03 15:40:56
SYM_AA Short·Isolated,2026-07-31 19:05:46,129.53,129.08,0.19SYM_AA,24.5252,0.06586274,0.0855,0,-0.00492214,-0.01471512,2026-07-31 19:28:09
SYM_AA Long·Isolated,2026-07-31 16:50:26,128.5,127.12,0.1SYM_AA,12.712,-0.1481972,-0.138,0,-0.00257,-0.0076272,2026-07-31 17:34:50
SYM_AA Short·Isolated,2026-07-31 11:12:30,120.53,122.48,0.12SYM_AA,14.6976,-0.24571128,-0.234,0,-0.00289272,-0.00881856,2026-07-31 11:21:44
SYM_AA Long·Isolated,2026-07-30 17:49:59,95.01,97.28,0.15SYM_AA,14.592,0.3347313,0.3405,0,-0.0028503,-0.0029184,2026-07-30 18:40:34
SYM_AA Long·Isolated,2026-07-30 15:40:41,91.81,91.6,0.26SYM_AA,23.816,-0.07366372,-0.0546,0,-0.00477412,-0.0142896,2026-07-30 15:55:22
SYM_AA Short·Isolated,2026-07-30 10:57:34,94.93,93.4,0.19SYM_AA,17.746,0.27644506,0.2907,0,-0.00360734,-0.0106476,2026-07-30 11:25:32
SYM_AA Long·Isolated,2026-07-30 09:35:56,99.17,96.31,0.09SYM_AA,8.6679,-0.26795592,-0.2574,0,-0.00535518,-0.00520074,2026-07-30 10:30:05
SYM_AA Long·Cross,2026-07-29 17:50:33,111.18,107.5,0.1SYM_AA,10.75,-0.3766736,-0.368,0,-0.0022236,-0.00645,2026-07-29 18:49:09
SYM_AA Short·Cross,2026-07-29 11:59:19,99.8,102.27,0.08SYM_AA,8.1816,-0.20410576,-0.1976,0,-0.0015968,-0.00490896,2026-07-29 13:03:25
